Estación: ,LERNL,Las Enramadas
Variable: ,Temperatura del Aire (°C)
Longitud: ,99° 31' 04.4'',Latitud:,25° 30' 06.1''
Datos preliminares sujetos a revisión
Datos en Fecha de Ocurrencia

Fecha,Promedio,Máximo,Mínimo
2022-01-01,-,-,-
2022-01-02,-,16,-
2022-01-03,8.5,18,-1
2022-01-04,13.25,25,1.5
2022-01-05,15.25,29,1.5
2022-01-06,18,31.5,4.5
2022-01-07,10.25,13.5,7
2022-01-08,16.25,23,9.5
2022-01-09,17.25,23.5,11
2022-01-10,13,14.5,11.5
2022-01-11,13.25,16,10.5
2022-01-12,14.25,18,10.5
2022-01-13,15.5,27,4
2022-01-14,17.25,31,3.5
2022-01-15,12.5,20,5
2022-01-16,13.5,27,0
2022-01-17,12.75,26,-0.5
2022-01-18,14.75,29.5,0
2022-01-19,18.25,32.5,4
2022-01-20,11,14.5,7.5
2022-01-21,4,6.5,1.5
2022-01-22,4.5,7.5,1.5
2022-01-23,7,9.5,4.5
2022-01-24,9.25,12,6.5
2022-01-25,16.25,25.5,7
2022-01-26,11,15,7
2022-01-27,12.75,14.5,11
2022-01-28,12.75,14,11.5
2022-01-29,13,18,8
2022-01-30,14,24,4
2022-01-31,15.25,26.5,4
2022-02-01,18.75,29,8.5
2022-02-02,18.75,28.5,9
2022-02-03,10,10.5,9.5
2022-02-04,6.75,11,2.5
2022-02-05,7.25,14.5,0
2022-02-06,10,20,0
2022-02-07,8,15,1
2022-02-08,13,21.5,4.5
2022-02-09,13.5,24.5,2.5
2022-02-10,12.5,22.5,2.5
2022-02-11,16.5,23.5,9.5
2022-02-12,17.75,23,12.5
2022-02-13,11,18.5,3.5
2022-02-14,12.5,23.5,1.5
2022-02-15,14.5,27.5,1.5
2022-02-16,18.75,33,4.5
2022-02-17,19.5,29.5,9.5
2022-02-18,14.25,20,8.5
2022-02-19,13.5,22,5
2022-02-20,17,29,5
2022-02-21,21,33,9
2022-02-22,27,38,16
2022-02-23,20.25,24.5,16
2022-02-24,11.5,16.5,6.5
2022-02-25,9.5,12.5,6.5
2022-02-26,6.5,9.5,3.5
2022-02-27,11.75,18,5.5
2022-02-28,12.75,23,2.5
2022-03-01,14,25.5,2.5
2022-03-02,13.75,23,4.5
2022-03-03,19,28,10
2022-03-04,23.5,31.5,15.5
2022-03-05,24,34.5,13.5
2022-03-06,24.75,34.5,15
2022-03-07,19.75,22.5,17
2022-03-08,15.5,21,10
2022-03-09,14,21.5,6.5
2022-03-10,16.25,27,5.5
2022-03-11,17.75,30,5.5
2022-03-12,13,17.5,8.5
2022-03-13,13.5,24.5,2.5
2022-03-14,17.25,31.5,3
2022-03-15,20,30.5,9.5
2022-03-16,20.25,33.5,7
2022-03-17,22.5,38,7
2022-03-18,19.75,28.5,11
2022-03-19,18.75,28.5,9
2022-03-20,20,31,9
2022-03-21,24.25,38.5,10
2022-03-22,24.5,31.5,17.5
2022-03-23,18,26,10
2022-03-24,18.75,31,6.5
2022-03-25,20.75,36,5.5
2022-03-26,20.75,36,5.5
2022-03-27,22,34.5,9.5
2022-03-28,23,34,12
2022-03-29,25,37.5,12.5
2022-03-30,25.75,36.5,15
2022-03-31,23,34,12
2022-04-01,22,31.5,12.5
2022-04-02,24.5,31,18
2022-04-03,26.25,34,18.5
2022-04-04,26.75,36.5,17
2022-04-05,29,39.5,18.5
2022-04-06,29,38.5,19.5
2022-04-07,25.5,29,22
2022-04-08,21.5,33,10
2022-04-09,22.25,34.5,10
2022-04-10,-,-,11.5
2022-04-11,-,-,-
2022-04-12,-,-,-
2022-04-13,-,-,-
2022-04-14,-,-,-
2022-04-15,-,-,-
2022-04-16,-,-,-
2022-04-17,-,-,-
2022-04-18,-,-,-
2022-04-19,-,-,-
2022-04-20,-,-,-
2022-04-21,-,-,-
2022-04-22,-,-,-
2022-04-23,-,-,-
2022-04-24,-,40.5,-
2022-04-25,24.75,32.5,17
2022-04-26,22.25,27.5,17
2022-04-27,24.25,31.5,17
2022-04-28,27,35.5,18.5
2022-04-29,28.25,37.5,19
2022-04-30,27.75,36,19.5
2022-05-01,29.5,38.5,20.5
2022-05-02,31.5,40.5,22.5
2022-05-03,29.25,37,21.5
2022-05-04,30.5,39.5,21.5
2022-05-05,32,40.5,23.5
2022-05-06,31.25,38,24.5
2022-05-07,32.5,43.5,21.5
2022-05-08,32.5,43.5,21.5
2022-05-09,31.25,39,23.5
2022-05-10,31,37.5,24.5
2022-05-11,31,37.5,24.5
2022-05-12,30.5,40,21
2022-05-13,30.5,40.5,20.5
2022-05-14,29.75,39,20.5
2022-05-15,31,41,21
2022-05-16,31,41.5,20.5
2022-05-17,31.75,43.5,20
2022-05-18,29.5,39,20
2022-05-19,30.75,40,21.5
2022-05-20,33.5,45,22
2022-05-21,32.75,43,22.5
2022-05-22,31,37,25
2022-05-23,27.75,33,22.5
2022-05-24,27.25,34,20.5
2022-05-25,26,32,20
2022-05-26,28.75,39,18.5
2022-05-27,31.5,39.5,23.5
2022-05-28,32,41,23
2022-05-29,32.25,42.5,22
2022-05-30,31.75,41.5,22
2022-05-31,31.25,40.5,22
2022-06-01,31.75,39,24.5
2022-06-02,31.75,40,23.5
2022-06-03,30,38,22
2022-06-04,30.75,40,21.5
2022-06-05,32.75,44,21.5
2022-06-06,34.25,46.5,22
2022-06-07,33.25,44,22.5
2022-06-08,32.5,42.5,22.5
2022-06-09,30.75,39.5,22
2022-06-10,33.25,43,23.5
2022-06-11,33,43,23
2022-06-12,33,43.5,22.5
2022-06-13,31.75,40,23.5
2022-06-14,31.75,39,24.5
2022-06-15,33,41,25
2022-06-16,31.75,40.5,23
2022-06-17,31.25,41.5,21
2022-06-18,30.25,39,21.5
2022-06-19,30.25,38.5,22
2022-06-20,31.5,40,23
2022-06-21,31.5,39.5,23.5
2022-06-22,30.75,38.5,23
2022-06-23,30,40,20
2022-06-24,30.75,41.5,20
2022-06-25,31.5,41,22
2022-06-26,31.5,40,23
2022-06-27,31.25,40,22.5
2022-06-28,31.25,39,23.5
2022-06-29,28.5,35,22
2022-06-30,30.25,38.5,22
2022-07-01,31.5,40.5,22.5
2022-07-02,30.75,39,22.5
2022-07-03,32.5,40.5,24.5
2022-07-04,33.5,43,24
2022-07-05,33.5,43,24
2022-07-06,32.5,42,23
2022-07-07,33.25,43,23.5
2022-07-08,33.5,43,24
2022-07-09,33.25,42.5,24
2022-07-10,33.5,43,24
2022-07-11,33.5,43,24
2022-07-12,33.5,42,25
2022-07-13,32.75,41,24.5
2022-07-14,31,38.5,23.5
2022-07-15,30.75,39,22.5
2022-07-16,31.75,41,22.5
2022-07-17,31.75,42,21.5
2022-07-18,31.75,42,21.5
2022-07-19,32.25,42,22.5
2022-07-20,33.5,43.5,23.5
2022-07-21,34,43.5,24.5
2022-07-22,33.5,42.5,24.5
2022-07-23,33,42,24
2022-07-24,33.5,43.5,23.5
2022-07-25,32.25,41,23.5
2022-07-26,32.5,42,23
2022-07-27,31.5,40,23
2022-07-28,32.25,40,24.5
2022-07-29,32.5,41,24
2022-07-30,31.75,40,23.5
2022-07-31,32.25,41,23.5
2022-08-01,31.75,40,23.5
2022-08-02,32.25,42,22.5
2022-08-03,34,44.5,23.5
2022-08-04,33,43,23
2022-08-05,32,41.5,22.5
2022-08-06,33,42,24
2022-08-07,31.75,40.5,23
2022-08-08,31.75,40.5,23
2022-08-09,32,40.5,23.5
2022-08-10,31.75,40.5,23
2022-08-11,32,41,23
2022-08-12,31.25,39,23.5
2022-08-13,29.5,36.5,22.5
2022-08-14,29.25,35.5,23
2022-08-15,30.25,38,22.5
2022-08-16,30.5,38,23
2022-08-17,31,39,23
2022-08-18,31.75,40.5,23
2022-08-19,32.5,41,24
2022-08-20,31.75,40,23.5
2022-08-21,32,40.5,23.5
2022-08-22,33,41.5,24.5
2022-08-23,32,39.5,24.5
2022-08-24,32.75,41,24.5
2022-08-25,32,39.5,24.5
2022-08-26,30.75,37,24.5
2022-08-27,32,40.5,23.5
2022-08-28,31.75,40.5,23
2022-08-29,31.75,40,23.5
2022-08-30,32.5,40,25
2022-08-31,30,36.5,23.5
2022-09-01,30.5,38,23
2022-09-02,31,39,23
2022-09-03,30.75,37,24.5
2022-09-04,28,33.5,22.5
2022-09-05,26.5,30,23
2022-09-06,25.5,30.5,20.5
2022-09-07,26.75,32.5,21
2022-09-08,28,35,21
2022-09-09,29.25,37,21.5
2022-09-10,29.25,37,21.5
2022-09-11,28.75,35.5,22
2022-09-12,29,36.5,21.5
2022-09-13,28.5,36,21
2022-09-14,28.75,36.5,21
2022-09-15,29,36,22
2022-09-16,28.75,35.5,22
2022-09-17,28.75,35.5,22
2022-09-18,29.25,36.5,22
2022-09-19,29.25,36,22.5
2022-09-20,28.5,34.5,22.5
2022-09-21,28.5,36,21
2022-09-22,28.5,36,21
2022-09-23,28.75,36.5,21
2022-09-24,29,37,21
2022-09-25,28.5,35,22
2022-09-26,26.25,32.5,20
2022-09-27,27.25,34.5,20
2022-09-28,25,31,19
2022-09-29,25.25,32.5,18
2022-09-30,25.5,34.5,16.5
2022-10-01,25.5,35,16
2022-10-02,24.25,32.5,16
2022-10-03,25,30.5,19.5
2022-10-04,23.25,26,20.5
2022-10-05,25,31,19
2022-10-06,23.5,28.5,18.5
2022-10-07,22.5,26.5,18.5
2022-10-08,21.5,25.5,17.5
2022-10-09,25,31,19
2022-10-10,24.25,30,18.5
2022-10-11,24.75,31,18.5
2022-10-12,27,35.5,18.5
2022-10-13,25.75,33,18.5
2022-10-14,27.75,36,19.5
2022-10-15,28,35.5,20.5
2022-10-16,28.75,36.5,21
2022-10-17,28.25,35,21.5
2022-10-18,16,17,15
2022-10-19,18,23.5,12.5
2022-10-20,19.5,28.5,10.5
2022-10-21,20.5,31,10
2022-10-22,22,33,11
2022-10-23,22,29.5,14.5
2022-10-24,26.5,36,17
2022-10-25,25,28.5,21.5
2022-10-26,21.75,31,12.5
2022-10-27,22.5,33,12
2022-10-28,21.75,28,15.5
2022-10-29,20.25,28.5,12
2022-10-30,20.75,30.5,11
2022-10-31,16,21,11
2022-11-01,20.75,23.5,18
2022-11-02,20,23,17
2022-11-03,25.75,33,18.5
2022-11-04,27.5,35.5,19.5
2022-11-05,24.5,29,20
2022-11-06,22,33.5,10.5
2022-11-07,21.75,33,10.5
2022-11-08,26.25,33,19.5
2022-11-09,26.25,32,20.5
2022-11-10,25.25,32.5,18
2022-11-11,28,38,18
2022-11-12,16,19,13
2022-11-13,15.25,23.5,7
2022-11-14,18.25,29.5,7
2022-11-15,15.75,21.5,10
2022-11-16,12.5,14.5,10.5
2022-11-17,8.75,10.5,7
2022-11-18,9.75,12.5,7
2022-11-19,9.75,10.5,9
2022-11-20,7.75,9.5,6
2022-11-21,8.25,10.5,6
2022-11-22,9.5,14,5
2022-11-23,12.25,15.5,9
2022-11-24,17,22.5,11.5
2022-11-25,16.25,18,14.5
2022-11-26,15.5,22,9
2022-11-27,18.5,29,8
2022-11-28,17.5,27,8
2022-11-29,21,32,10
2022-11-30,17,20.5,13.5
2022-12-01,13.75,15.5,12
2022-12-02,16,20.5,11.5
2022-12-03,17,22,12
2022-12-04,19.75,22.5,17
2022-12-05,23,29,17
2022-12-06,22,29.5,14.5
2022-12-07,21.75,29,14.5
2022-12-08,22.5,29,16
2022-12-09,22.25,29.5,15
2022-12-10,21.75,28.5,15
2022-12-11,21,27,15
2022-12-12,21.5,28.5,14.5
2022-12-13,22.75,31,14.5
2022-12-14,19.5,23.5,15.5
2022-12-15,16.25,26,6.5
2022-12-16,16,25.5,6.5
2022-12-17,11.5,14.5,8.5
2022-12-18,-,-,10
2022-12-19,-,-,-
2022-12-20,-,-,-
2022-12-21,-,-,-
2022-12-22,-,-,-
2022-12-23,-,-,-
2022-12-24,-,-,-
2022-12-25,-,-,-
2022-12-26,-,-,-
2022-12-27,-,-,-
2022-12-28,-,-,-
2022-12-29,-,-,-
2022-12-30,-,-,-
2022-12-31,-,-,-
2023-01-01,-,33,-
2023-01-02,21,32,10
2023-01-03,21,29.5,12.5
2023-01-04,18.75,29.5,8
2023-01-05,19.25,30.5,8
2023-01-06,19.5,30.5,8.5
2023-01-07,21.5,29.5,13.5
2023-01-08,18.75,23.5,14
2023-01-09,19.25,26,12.5
2023-01-10,21,31.5,10.5
2023-01-11,21.5,33,10
2023-01-12,17.75,25.5,10
2023-01-13,13.5,21.5,5.5
2023-01-14,13,24.5,1.5
2023-01-15,15.5,29.5,1.5
2023-01-16,18.5,31,6
2023-01-17,20,31,9
2023-01-18,19,28.5,9.5
2023-01-19,16.75,21.5,12
2023-01-20,17,21,13
2023-01-21,20,25.5,14.5
2023-01-22,19,25,13
2023-01-23,15.75,19.5,12
2023-01-24,19.25,26,12.5
2023-01-25,15.5,22.5,8.5
2023-01-26,10.5,18.5,2.5
2023-01-27,8,13.5,2.5
2023-01-28,19,27.5,10.5
2023-01-29,21.5,32.5,10.5
2023-01-30,22,29.5,14.5
2023-01-31,7.5,8,7
2023-02-01,6,8,4
2023-02-02,9.75,15.5,4
2023-02-03,11.5,20.5,2.5
2023-02-04,13.25,24,2.5
2023-02-05,16,29.5,2.5
2023-02-06,19,32,6
2023-02-07,21.25,33.5,9
2023-02-08,17.25,22.5,12
2023-02-09,20.25,27.5,13
2023-02-10,16.25,19.5,13
2023-02-11,11.5,21,2
2023-02-12,13.5,25,2
2023-02-13,18,29.5,6.5
2023-02-14,19.75,31.5,8
2023-02-15,24.25,36,12.5
2023-02-16,18,23,13
2023-02-17,13.75,17.5,10
2023-02-18,11.75,21,2.5
2023-02-19,16.25,30.5,2
2023-02-20,18.25,32.5,4
2023-02-21,25.25,35.5,15
2023-02-22,26,37.5,14.5
2023-02-23,26.25,38.5,14
2023-02-24,25.5,35.5,15.5
2023-02-25,25.25,34,16.5
2023-02-26,25,33.5,16.5
2023-02-27,25,33.5,16.5
2023-02-28,26.5,37,16
2023-03-01,28.25,41,15.5
2023-03-02,28.25,38,18.5
2023-03-03,-,-,14
