Estación: ,C19179,CERRITO DEL AIRE
Variable: ,Evaporación (mm)
Longitud: ,100° 13' 56'',Latitud:,23° 35' 37

Fecha,Valor,NúmDatos
1984-10-01,2.31,CLIC
1984-10-02,2.21,CLIC
1984-10-03,2.79,CLIC
1984-10-04,2.31,CLIC
1984-10-05,4.57,CLIC
1984-10-06,2.6,CLIC
1984-10-07,2.69,CLIC
1984-10-08,1.71,CLIC
1984-10-09,1.46,CLIC
1984-10-10,2.05,CLIC
1984-10-11,1.8,CLIC
1984-10-12,3.02,CLIC
1984-10-13,3.74,CLIC
1984-10-14,9.24,CLIC
1984-10-15,1.35,CLIC
1984-10-16,2.37,CLIC
1984-10-17,1.47,CLIC
1984-10-18,2.76,CLIC
1984-10-19,1.52,CLIC
1984-10-20,2.56,CLIC
1984-10-21,2.9,CLIC
1984-10-22,1.21,CLIC
1984-10-23,2.22,CLIC
1984-10-24,1.81,CLIC
1984-10-25,2.11,CLIC
1984-10-26,1.86,CLIC
1984-10-27,7.61,CLIC
1984-10-28,1.62,CLIC
1984-10-29,2.23,CLIC
1984-10-30,0.76,CLIC
1984-10-31,3.86,CLIC
1984-11-01,1.1,CLIC
1984-11-02,1.2,CLIC
1984-11-03,1.99,CLIC
1984-11-04,2.78,CLIC
1984-11-05,2.05,CLIC
1984-11-06,2.05,CLIC
1984-11-07,1.79,CLIC
1984-11-08,2.19,CLIC
1984-11-09,1.92,CLIC
1984-11-10,2.87,CLIC
1984-11-11,1.48,CLIC
1984-11-12,2.75,CLIC
1984-11-13,1.96,CLIC
1984-11-14,1.91,CLIC
1984-11-15,1.4,CLIC
1984-11-16,2.74,CLIC
1984-11-17,1.21,CLIC
1984-11-18,2.1,CLIC
1984-11-19,2.65,CLIC
1984-11-20,0.29,CLIC
1984-11-21,1.12,CLIC
1984-11-22,0.77,CLIC
1984-11-23,1.83,CLIC
1984-11-24,1.99,CLIC
1984-11-25,2.02,CLIC
1984-11-26,1.15,CLIC
1984-11-27,3.73,CLIC
1984-11-28,1.56,CLIC
1984-11-29,1.73,CLIC
1984-11-30,2.59,CLIC
1984-12-01,2.36,CLIC
1984-12-02,1.55,CLIC
1984-12-03,4.45,CLIC
1984-12-04,1.9,CLIC
1984-12-05,2.2,CLIC
1984-12-06,1.9,CLIC
1984-12-07,2.05,CLIC
1984-12-08,2.45,CLIC
1984-12-09,3.4,CLIC
1984-12-10,2.6,CLIC
1984-12-11,2.4,CLIC
1984-12-12,3.1,CLIC
1984-12-13,2.17,CLIC
1984-12-14,2.12,CLIC
1984-12-15,1.88,CLIC
1984-12-16,2.02,CLIC
1984-12-17,2.09,CLIC
1984-12-18,1.89,CLIC
1984-12-19,2.04,CLIC
1984-12-20,2.06,CLIC
1984-12-21,0.98,CLIC
1984-12-22,1.24,CLIC
1984-12-23,2.75,CLIC
1984-12-24,1.06,CLIC
1984-12-25,1.98,CLIC
1984-12-26,0.98,CLIC
1984-12-27,2.02,CLIC
1984-12-28,0.21,CLIC
1984-12-29,2.77,CLIC
1984-12-30,2.44,CLIC
1984-12-31,2.09,CLIC
