Estación: ,CAMNL,Camacho
Variable: ,Evaporación (mm)
Longitud: ,99° 34' 49.6'',Latitud:,24° 52' 33.3''
Datos preliminares sujetos a revisión
Datos en Fecha de Ocurrencia

Fecha,Valor,Fuente
2022-01-01,-,-
2022-01-02,0.6,
2022-01-03,0.75,
2022-01-04,2.24,
2022-01-05,2.94,
2022-01-06,2.46,
2022-01-07,0.36,
2022-01-08,1.6,
2022-01-09,1.98,
2022-01-10,1.32,
2022-01-11,1.05,
2022-01-12,1.25,
2022-01-13,1.6,
2022-01-14,1.75,
2022-01-15,2.4,
2022-01-16,1.34,
2022-01-17,2.04,
2022-01-18,1.47,
2022-01-19,2.53,
2022-01-20,1.2,
2022-01-21,0.42,
2022-01-22,0.28,
2022-01-23,0.32,
2022-01-24,0.1,
2022-01-25,1.74,
2022-01-26,0.26,
2022-01-27,0.35,
2022-01-28,0.55,
2022-01-29,1.32,
2022-01-30,2.18,
2022-01-31,3,
2022-02-01,2.17,
2022-02-02,1.9,
2022-02-03,1.3,
2022-02-04,0.3,
2022-02-05,0.83,
2022-02-06,0.67,
2022-02-07,0.58,
2022-02-08,1.6,
2022-02-09,2.94,
2022-02-10,2.41,
2022-02-11,1.1,
2022-02-12,1.31,
2022-02-13,2.15,
2022-02-14,2.97,
2022-02-15,3.2,
2022-02-16,4.13,
2022-02-17,4.52,
2022-02-18,2.56,
2022-02-19,1.49,
2022-02-20,3.1,
2022-02-21,3.68,
2022-02-22,4.16,
2022-02-23,2.24,
2022-02-24,1.06,
2022-02-25,0.26,
2022-02-26,0.66,
2022-02-27,1.47,
2022-02-28,1.63,
2022-03-01,2.02,
2022-03-02,0.58,
2022-03-03,2.52,
2022-03-04,3.21,
2022-03-05,4.33,
2022-03-06,4.41,
2022-03-07,2.9,
2022-03-08,2.74,
2022-03-09,-,-
2022-03-10,-,-
2022-03-11,-,-
2022-03-12,3.12,
2022-03-13,2.57,
2022-03-14,3.3,
2022-03-15,3.63,
2022-03-16,6.22,
2022-03-17,4.9,
2022-03-18,4.47,
2022-03-19,4.53,
2022-03-20,4,
2022-03-21,5.36,
2022-03-22,2.74,
2022-03-23,3.91,
2022-03-24,4.5,
2022-03-25,5.33,
2022-03-26,5.74,
2022-03-27,5.49,
2022-03-28,4.63,
2022-03-29,5.32,
2022-03-30,-,-
2022-03-31,6.75,
2022-04-01,4.34,
2022-04-02,3.51,
2022-04-03,2.13,
2022-04-04,3.22,
2022-04-05,5.71,
2022-04-06,8.72,
2022-04-07,5.93,
2022-04-08,6.02,
2022-04-09,5.25,
2022-04-10,6.8,
2022-04-11,5.75,
2022-04-12,4.13,
2022-04-13,6.83,
2022-04-14,6.04,
2022-04-15,5.33,
2022-04-16,4.9,
2022-04-17,5.65,
2022-04-18,3.2,
2022-04-19,4.62,
2022-04-20,3.24,
2022-04-21,5.01,
2022-04-22,6.55,
2022-04-23,6.75,
2022-04-24,4.28,
2022-04-25,4,
2022-04-26,2.44,
2022-04-27,-,-
2022-04-28,-,-
2022-04-29,-,-
2022-04-30,5.67,
2022-05-01,5.75,
2022-05-02,5.55,
2022-05-03,3.87,
2022-05-04,3.13,
2022-05-05,6.79,
2022-05-06,4.45,
2022-05-07,8.1,
2022-05-08,4.67,
2022-05-09,4.17,
2022-05-10,6.04,
2022-05-11,5.55,
2022-05-12,5.13,
2022-05-13,7.66,
2022-05-14,6.72,
2022-05-15,7.11,
2022-05-16,6.85,
2022-05-17,7.44,
2022-05-18,6.57,
2022-05-19,8.1,
2022-05-20,7.5,
2022-05-21,5.9,
2022-05-22,5.97,
2022-05-23,0.82,
2022-05-24,5.06,
2022-05-25,2.5,
2022-05-26,4.9,
2022-05-27,3.47,
2022-05-28,7.82,
2022-05-29,8.32,
2022-05-30,10.11,
2022-05-31,11.95,
2022-06-01,9.74,
2022-06-02,7,
2022-06-03,5.8,
2022-06-04,7.26,
2022-06-05,8.62,
2022-06-06,8.77,
2022-06-07,8.31,
2022-06-08,8.65,
2022-06-09,8.2,
2022-06-10,8.3,
2022-06-11,7.96,
2022-06-12,9.32,
2022-06-13,7.56,
2022-06-14,6.72,
2022-06-15,8.86,
2022-06-16,9.46,
2022-06-17,7.12,
2022-06-18,4.86,
2022-06-19,7.48,
2022-06-20,5.72,
2022-06-21,7.18,
2022-06-22,6.02,
2022-06-23,7.07,
2022-06-24,8.44,
2022-06-25,7.64,
2022-06-26,7.4,
2022-06-27,7.78,
2022-06-28,4.57,
2022-06-29,6.02,
2022-06-30,-,-
2022-07-01,5.14,
2022-07-02,5.86,
2022-07-03,6.65,
2022-07-04,-,-
2022-07-05,8.03,
2022-07-06,6.71,
2022-07-07,8.85,
2022-07-08,8.43,
2022-07-09,8.07,
2022-07-10,7.25,
2022-07-11,6.62,
2022-07-12,7.52,
2022-07-13,6.67,
2022-07-14,6,
2022-07-15,6.48,
2022-07-16,6.2,
2022-07-17,8.1,
2022-07-18,7.38,
2022-07-19,7.18,
2022-07-20,8.66,
2022-07-21,7.18,
2022-07-22,9.08,
2022-07-23,9.27,
2022-07-24,8.93,
2022-07-25,-,-
2022-07-26,-,-
2022-07-27,-,-
2022-07-28,-,-
2022-07-29,-,-
2022-07-30,7.43,
2022-07-31,7.16,
2022-08-01,6.49,
2022-08-02,6.45,
2022-08-03,8.38,
2022-08-04,6.35,
2022-08-05,8.17,
2022-08-06,8.31,
2022-08-07,8.37,
2022-08-08,5.1,
2022-08-09,7.03,
2022-08-10,7.97,
2022-08-11,7.2,
2022-08-12,6.28,
2022-08-13,5.71,
2022-08-14,1.57,
2022-08-15,4.42,
2022-08-16,5.37,
2022-08-17,4.66,
2022-08-18,6.65,
2022-08-19,6.6,
2022-08-20,5.65,
2022-08-21,5.95,
2022-08-22,7.08,
2022-08-23,6.75,
2022-08-24,5.85,
2022-08-25,5.31,
2022-08-26,6.29,
2022-08-27,6.69,
2022-08-28,6.05,
2022-08-29,6.22,
2022-08-30,5.53,
2022-08-31,4.52,
2022-09-01,4.78,
2022-09-02,5.07,
2022-09-03,2.85,
2022-09-04,-,-
2022-09-05,3.05,
2022-09-06,1.37,
2022-09-07,2.98,
2022-09-08,3.84,
2022-09-09,4.71,
2022-09-10,7.09,
2022-09-11,3.06,
2022-09-12,5.85,
2022-09-13,3.23,
2022-09-14,5.16,
2022-09-15,3.16,
2022-09-16,4.88,
2022-09-17,6.55,
2022-09-18,5.67,
2022-09-19,3.6,
2022-09-20,8.08,
2022-09-21,4.12,
2022-09-22,2.83,
2022-09-23,6.04,
2022-09-24,6.01,
2022-09-25,4.69,
2022-09-26,1.36,
2022-09-27,1.06,
2022-09-28,4.62,
2022-09-29,4.24,
2022-09-30,6.04,
2022-10-01,3.95,
2022-10-02,4.4,
2022-10-03,1.57,
2022-10-04,2.53,
2022-10-05,1.35,
2022-10-06,1.2,
2022-10-07,-,-
2022-10-08,-,-
2022-10-09,-,-
2022-10-10,-,-
2022-10-11,1.18,
2022-10-12,3.37,
2022-10-13,3.5,
2022-10-14,6.23,
2022-10-15,5.35,
2022-10-16,4.52,
2022-10-17,1.5,
2022-10-18,0.43,
2022-10-19,0.77,
2022-10-20,2.38,
2022-10-21,-,-
2022-10-22,-,-
2022-10-23,-,-
2022-10-24,-,-
2022-10-25,3.82,
2022-10-26,4.7,
2022-10-27,4.83,
2022-10-28,4.1,
2022-10-29,4.15,
2022-10-30,3.05,
2022-10-31,0.4,
2022-11-01,1.76,
2022-11-02,1.02,
2022-11-03,2.82,
2022-11-04,2.8,
2022-11-05,4.15,
2022-11-06,3.13,
2022-11-07,1.52,
2022-11-08,2.25,
2022-11-09,3.4,
2022-11-10,3.85,
2022-11-11,1.95,
2022-11-12,1.56,
2022-11-13,1.37,
2022-11-14,2.44,
2022-11-15,2.03,
2022-11-16,1.23,
2022-11-17,0.3,
2022-11-18,0.22,
2022-11-19,0.18,
2022-11-20,0.12,
2022-11-21,0.16,
2022-11-22,0.7,
2022-11-23,1.3,
2022-11-24,2.05,
2022-11-25,1.09,
2022-11-26,1.46,
2022-11-27,1.9,
2022-11-28,2.09,
2022-11-29,2.61,
2022-11-30,0.6,
2022-12-01,0.28,
2022-12-02,0.62,
2022-12-03,0.35,
2022-12-04,-,-
2022-12-05,-,-
2022-12-06,2.4,
2022-12-07,1.62,
2022-12-08,2.01,
2022-12-09,1.82,
2022-12-10,2.3,
2022-12-11,1.75,
2022-12-12,2.13,
2022-12-13,1.37,
2022-12-14,2.11,
2022-12-15,1.4,
2022-12-16,1.75,
2022-12-17,0.75,
2022-12-18,-,-
2022-12-19,-,-
2022-12-20,-,-
2022-12-21,-,-
2022-12-22,-,-
2022-12-23,-,-
2022-12-24,-,-
2022-12-25,-,-
2022-12-26,-,-
2022-12-27,-,-
2022-12-28,-,-
2022-12-29,-,-
2022-12-30,-,-
2022-12-31,-,-
2023-01-01,-,-
2023-01-02,3.75,
2023-01-03,2.3,
2023-01-04,2.1,
2023-01-05,2.28,
2023-01-06,2.72,
2023-01-07,1.93,
2023-01-08,1.6,
2023-01-09,1.07,
2023-01-10,3.05,
2023-01-11,2.7,
2023-01-12,1.6,
2023-01-13,0.99,
2023-01-14,1.08,
2023-01-15,1.9,
2023-01-16,3.73,
2023-01-17,2.27,
2023-01-18,2.44,
2023-01-19,1.8,
2023-01-20,1.56,
2023-01-21,2.21,
2023-01-22,2.23,
2023-01-23,0.82,
2023-01-24,1.56,
2023-01-25,1.44,
2023-01-26,1.2,
2023-01-27,0.9,
2023-01-28,3.74,
2023-01-29,6.21,
2023-01-30,6.9,
2023-01-31,0.41,
2023-02-01,0.64,
2023-02-02,0.88,
2023-02-03,1.1,
2023-02-04,2.2,
2023-02-05,2.35,
2023-02-06,2.8,
2023-02-07,3.27,
2023-02-08,-,-
2023-02-09,-,-
2023-02-10,1.65,
2023-02-11,3.11,
2023-02-12,3.35,
2023-02-13,4.03,
2023-02-14,5.29,
2023-02-15,3.66,
2023-02-16,2.74,
2023-02-17,2.55,
2023-02-18,2.81,
2023-02-19,3.62,
2023-02-20,4.57,
2023-02-21,5.33,
2023-02-22,4.77,
2023-02-23,4.6,
2023-02-24,-,-
2023-02-25,-,-
2023-02-26,-,-
2023-02-27,4.78,
2023-02-28,5.05,
2023-03-01,4.81,
2023-03-02,5.23,
2023-03-03,-,-
