Estación: ,MTMNL,Montemorelos
Variable: ,Temperatura del Aire (°C)
Longitud: ,99° 49' 56'',Latitud:,25° 10' 55
Datos preliminares sujetos a revisión
Datos en Fecha de Ocurrencia

Fecha,Promedio,Máximo,Mínimo
2022-01-01,23.5,35,12
2022-01-02,15,17,13
2022-01-03,8.25,19,-2.5
2022-01-04,10.75,24,-2.5
2022-01-05,15,29,1
2022-01-06,17,31,3
2022-01-07,10,14,6
2022-01-08,19,27,11
2022-01-09,19,27,11
2022-01-10,12,13,11
2022-01-11,13,16,10
2022-01-12,14.25,18,10.5
2022-01-13,14.5,27,2
2022-01-14,16,30,2
2022-01-15,12,20,4
2022-01-16,10,22,-2
2022-01-17,12,26,-2
2022-01-18,13.5,29,-2
2022-01-19,19.5,33,6
2022-01-20,10.5,15,6
2022-01-21,4,6,2
2022-01-22,4,7,1
2022-01-23,7.25,9.5,5
2022-01-24,10.5,14,7
2022-01-25,15.5,25,6
2022-01-26,10,14,6
2022-01-27,13.5,15,12
2022-01-28,13.25,13.5,13
2022-01-29,13.5,18.5,8.5
2022-01-30,13,23,3
2022-01-31,14,25,3
2022-02-01,17.5,29,6
2022-02-02,17.5,29,6
2022-02-03,10.75,11,10.5
2022-02-04,6,10,2
2022-02-05,7,14,0
2022-02-06,9.5,19,0
2022-02-07,7.5,14,1
2022-02-08,13.25,21,5.5
2022-02-09,12.75,23,2.5
2022-02-10,12.5,22,3
2022-02-11,16.5,25,8
2022-02-12,18.5,24,13
2022-02-13,9.5,18,1
2022-02-14,11.5,22,1
2022-02-15,13,25,1
2022-02-16,18.5,32,5
2022-02-17,19.5,28,11
2022-02-18,13.5,20,7
2022-02-19,12.5,21,4
2022-02-20,16.5,29,4
2022-02-21,19,31,7
2022-02-22,24,36,12
2022-02-23,21,26,16
2022-02-24,11.5,16,7
2022-02-25,9.5,12,7
2022-02-26,7.5,9,6
2022-02-27,12,18,6
2022-02-28,12,22,2
2022-03-01,13.5,25,2
2022-03-02,12,21,3
2022-03-03,17.5,27,8
2022-03-04,22.5,30,15
2022-03-05,24.5,32,17
2022-03-06,25.5,33,18
2022-03-07,21.5,25,18
2022-03-08,15.5,23,8
2022-03-09,13,21,5
2022-03-10,16,28,4
2022-03-11,17.25,30,4.5
2022-03-12,12.25,15.5,9
2022-03-13,12,22,2
2022-03-14,16,30,2
2022-03-15,18.5,30,7
2022-03-16,19,32,6
2022-03-17,21.5,37,6
2022-03-18,19,28,10
2022-03-19,18,28,8
2022-03-20,19,30,8
2022-03-21,23.5,37,10
2022-03-22,21,31,11
2022-03-23,15.5,25,6
2022-03-24,17,29,5
2022-03-25,19,34,4
2022-03-26,19,34,4
2022-03-27,21.75,32,11.5
2022-03-28,23,32.5,13.5
2022-03-29,25.5,37,14
2022-03-30,25.5,35,16
2022-03-31,23,33,13
2022-04-01,23.75,32.5,15
2022-04-02,24,30,18
2022-04-03,25,30,20
2022-04-04,27.5,35,20
2022-04-05,29,38,20
2022-04-06,29,40,18
2022-04-07,19.5,27,12
2022-04-08,21,30,12
2022-04-09,22.5,32,13
2022-04-10,28.5,42,15
2022-04-11,28,40,16
2022-04-12,27,38,16
2022-04-13,29.5,41,18
2022-04-14,25.25,33,17.5
2022-04-15,28,34,22
2022-04-16,28.5,36,21
2022-04-17,29.5,38,21
2022-04-18,26.5,31,22
2022-04-19,25.5,29,22
2022-04-20,26,31,21
2022-04-21,27.5,34,21
2022-04-22,28,35,21
2022-04-23,28.25,35,21.5
2022-04-24,28,35,21
2022-04-25,25.5,30,21
2022-04-26,22.5,28,17
2022-04-27,24.5,31,18
2022-04-28,26,33,19
2022-04-29,26.5,32,21
2022-04-30,28,36,20
2022-05-01,29,38,20
2022-05-02,31,38,24
2022-05-03,28.5,35,22
2022-05-04,29,36,22
2022-05-05,31.5,39,24
2022-05-06,30.25,36.5,24
2022-05-07,30.5,40,21
2022-05-08,30.5,40,21
2022-05-09,29.5,36,23
2022-05-10,28.5,32,25
2022-05-11,30,36,24
2022-05-12,29,37,21
2022-05-13,29.5,38,21
2022-05-14,29,36,22
2022-05-15,29.5,39,20
2022-05-16,29,39,19
2022-05-17,29.25,39.5,19
2022-05-18,28,35,21
2022-05-19,30,38,22
2022-05-20,32,42,22
2022-05-21,32.5,41.5,23.5
2022-05-22,28.5,34,23
2022-05-23,26.5,31,22
2022-05-24,24,27,21
2022-05-25,25,29,21
2022-05-26,28,36,20
2022-05-27,30,38,22
2022-05-28,31,39,23
2022-05-29,31,39,23
2022-05-30,30.75,38,23.5
2022-05-31,31.5,39,24
2022-06-01,31,37,25
2022-06-02,30.5,37,24
2022-06-03,27,32,22
2022-06-04,28.75,37,20.5
2022-06-05,31,41,21
2022-06-06,31.5,42,21
2022-06-07,32,41,23
2022-06-08,30.5,38,23
2022-06-09,30.5,36,25
2022-06-10,31.75,39.5,24
2022-06-11,31.5,39,24
2022-06-12,31.5,39,24
2022-06-13,29.5,35,24
2022-06-14,29.75,35,24.5
2022-06-15,30.25,36,24.5
2022-06-16,30,37,23
2022-06-17,30.75,38,23.5
2022-06-18,29.5,36,23
2022-06-19,29.5,36,23
2022-06-20,30,37,23
2022-06-21,30.25,37,23.5
2022-06-22,29,35,23
2022-06-23,28.75,36.5,21
2022-06-24,29.5,38,21
2022-06-25,30,38,22
2022-06-26,29.5,37,22
2022-06-27,29.5,37,22
2022-06-28,29,36,22
2022-06-29,27,33,21
2022-06-30,28.5,36,21
2022-07-01,29,36,22
2022-07-02,28,34,22
2022-07-03,30.5,37,24
2022-07-04,30,36,24
2022-07-05,30.5,37,24
2022-07-06,29.5,36,23
2022-07-07,30.5,38,23
2022-07-08,30.75,38.5,23
2022-07-09,31.25,39,23.5
2022-07-10,31.25,39,23.5
2022-07-11,31.5,40,23
2022-07-12,31.75,40,23.5
2022-07-13,31.5,39,24
2022-07-14,29.75,37.5,22
2022-07-15,29.5,37,22
2022-07-16,29,36,22
2022-07-17,30.5,38,23
2022-07-18,31,39,23
2022-07-19,31,39,23
2022-07-20,31.5,39,24
2022-07-21,32.25,39,25.5
2022-07-22,31.5,39,24
2022-07-23,31.25,38.5,24
2022-07-24,31.5,39,24
2022-07-25,31.5,38,25
2022-07-26,31.25,39.5,23
2022-07-27,30.75,38,23.5
2022-07-28,29.5,36,23
2022-07-29,30.25,37,23.5
2022-07-30,30.5,38,23
2022-07-31,30.5,38,23
2022-08-01,30,37,23
2022-08-02,31,39,23
2022-08-03,32.5,41,24
2022-08-04,32.5,40,25
2022-08-05,31.5,39,24
2022-08-06,32.25,40.5,24
2022-08-07,30.75,38,23.5
2022-08-08,30.5,38,23
2022-08-09,30,38,22
2022-08-10,30.5,39,22
2022-08-11,31.5,39.5,23.5
2022-08-12,31.5,38,25
2022-08-13,28.5,34,23
2022-08-14,27.5,32,23
2022-08-15,28.5,34,23
2022-08-16,29,35,23
2022-08-17,30.5,37,24
2022-08-18,31,38,24
2022-08-19,31.5,39,24
2022-08-20,30.25,37,23.5
2022-08-21,31,38,24
2022-08-22,31.5,39,24
2022-08-23,30.5,37,24
2022-08-24,31,38,24
2022-08-25,31.5,39,24
2022-08-26,29.5,35,24
2022-08-27,29.5,36,23
2022-08-28,29.5,36,23
2022-08-29,30.25,37,23.5
2022-08-30,30,36,24
2022-08-31,28,34,22
2022-09-01,27,33,21
2022-09-02,28.5,35,22
2022-09-03,27.5,32,23
2022-09-04,27.5,32,23
2022-09-05,24.75,27.5,22
2022-09-06,23.5,26,21
2022-09-07,25.25,29.5,21
2022-09-08,26,32,20
2022-09-09,27.5,35,20
2022-09-10,27.5,35,20
2022-09-11,27.5,35,20
2022-09-12,26.5,33,20
2022-09-13,27,34,20
2022-09-14,27,33,21
2022-09-15,26,31,21
2022-09-16,26.5,32,21
2022-09-17,27,33,21
2022-09-18,28.5,35,22
2022-09-19,27.5,33,22
2022-09-20,28.25,34,22.5
2022-09-21,27,33,21
2022-09-22,26.5,33,20
2022-09-23,27,34,20
2022-09-24,27.5,35,20
2022-09-25,27.5,35,20
2022-09-26,24.75,29,20.5
2022-09-27,25.5,31,20
2022-09-28,24.5,29,20
2022-09-29,23,29,17
2022-09-30,23.5,32,15
2022-10-01,23,32,14
2022-10-02,22,30,14
2022-10-03,22.5,29,16
2022-10-04,21.5,26,17
2022-10-05,22,27,17
2022-10-06,21.5,26,17
2022-10-07,21.75,25.5,18
2022-10-08,20.5,24,17
2022-10-09,23.25,29,17.5
2022-10-10,22.5,28,17
2022-10-11,22,26,18
2022-10-12,24,31,17
2022-10-13,26,35,17
2022-10-14,24,31,17
2022-10-15,24,31,17
2022-10-16,28,33,23
2022-10-17,25.5,30,21
2022-10-18,15.5,16,15
2022-10-19,16.5,20,13
2022-10-20,18.5,27,10
2022-10-21,19,29,9
2022-10-22,20.25,30,10.5
2022-10-23,21.5,28,15
2022-10-24,26.5,33,20
2022-10-25,23,26,20
2022-10-26,21,28,14
2022-10-27,21,28,14
2022-10-28,21.5,27,16
2022-10-29,19,26,12
2022-10-30,19.25,28,10.5
2022-10-31,16,21,11
2022-11-01,20.5,24,17
2022-11-02,22.75,27,18.5
2022-11-03,24.25,30,18.5
2022-11-04,26.5,33,20
2022-11-05,23.5,28,19
2022-11-06,20.5,32,9
2022-11-07,20.5,32,9
2022-11-08,24,30,18
2022-11-09,25,30,20
2022-11-10,25,29.5,20.5
2022-11-11,25,30,20
2022-11-12,17,19,15
2022-11-13,14,22,6
2022-11-14,17.5,29,6
2022-11-15,14.5,20,9
2022-11-16,13,15,11
2022-11-17,8.25,10,6.5
2022-11-18,9.5,13,6
2022-11-19,10.5,12,9
2022-11-20,7.5,8,7
2022-11-21,8.25,10,6.5
2022-11-22,11,15,7
2022-11-23,12.75,15.5,10
2022-11-24,18.75,25,12.5
2022-11-25,16.5,18,15
2022-11-26,15,20,10
2022-11-27,16.5,27,6
2022-11-28,17,28,6
2022-11-29,19,30,8
2022-11-30,18.5,25,12
2022-12-01,14,17,11
2022-12-02,16.5,23,10
2022-12-03,16.5,21,12
2022-12-04,18.5,19.5,17.5
2022-12-05,21.75,26,17.5
2022-12-06,22,28,16
2022-12-07,22.25,28,16.5
2022-12-08,24.5,27.5,21.5
2022-12-09,21.5,27,16
2022-12-10,21.5,26,17
2022-12-11,20,26,14
2022-12-12,19.25,26,12.5
2022-12-13,21,29,13
2022-12-14,17.5,22,13
2022-12-15,15,24,6
2022-12-16,15.5,25,6
2022-12-17,10,14,6
2022-12-18,11,12,10
2022-12-19,13.5,18,9
2022-12-20,16.5,23,10
2022-12-21,11.5,14,9
2022-12-22,18,26,10
2022-12-23,-1.5,-2,-1
2022-12-24,2,6,-2
2022-12-25,4.5,13,-4
2022-12-26,9.5,23,-4
2022-12-27,10.5,21,0
2022-12-28,14.5,28,1
2022-12-29,16.5,29,4
2022-12-30,17.5,25,10
2022-12-31,18,29,7
2023-01-01,19.5,32,7
2023-01-02,19.5,31,8
2023-01-03,19,29,9
2023-01-04,17.5,28,7
2023-01-05,17.5,29,6
2023-01-06,17,28,6
2023-01-07,21.25,28,14.5
2023-01-08,19,24,14
2023-01-09,19.5,24,15
2023-01-10,20,30,10
2023-01-11,20,31,9
2023-01-12,18,26,10
2023-01-13,11,20,2
2023-01-14,11.5,22,1
2023-01-15,14.5,28,1
2023-01-16,19,32,6
2023-01-17,20,31,9
2023-01-18,20,29,11
2023-01-19,15.5,20,11
2023-01-20,14.5,20,9
2023-01-21,18,25,11
2023-01-22,19.75,24,15.5
2023-01-23,13.5,18,9
2023-01-24,19.5,26,13
2023-01-25,14,21,7
2023-01-26,8,15,1
2023-01-27,6.5,12,1
2023-01-28,16,26,6
2023-01-29,19.5,31,8
2023-01-30,20.25,29,11.5
2023-01-31,8.5,9,8
2023-02-01,6,7,5
2023-02-02,9.5,14,5
2023-02-03,10,19,1
2023-02-04,11.5,22,1
2023-02-05,14.5,28,1
2023-02-06,16.5,28,5
2023-02-07,21.75,32,11.5
2023-02-08,17,20,14
2023-02-09,19.5,26,13
2023-02-10,15.5,18,13
2023-02-11,9.75,19,0.5
2023-02-12,11.75,23,0.5
2023-02-13,17,28,6
2023-02-14,19.75,31.5,8
2023-02-15,20.5,31,10
2023-02-16,17,24,10
2023-02-17,11.5,17,6
2023-02-18,10.25,20,0.5
2023-02-19,14.25,28,0.5
2023-02-20,17.5,32,3
2023-02-21,24.25,33.5,15
2023-02-22,25,35,15
2023-02-23,24.5,36,13
2023-02-24,23.5,34,13
2023-02-25,23,31,15
2023-02-26,26,32,20
2023-02-27,24,32,16
2023-02-28,25.75,36,15.5
2023-03-01,27.5,39,16
2023-03-02,27,37,17
2023-03-03,-,-,9
