Estación: ,MYNNL,Mier y Noriega
Variable: ,Temperatura del Aire (°C)
Longitud: ,100° 06' 57.8'',Latitud:,23° 25' 13.6''
Datos preliminares sujetos a revisión
Datos en Fecha de Ocurrencia

Fecha,Promedio,Máximo,Mínimo
2022-01-01,20,29,11
2022-01-02,20.5,30,11
2022-01-03,10,19,1
2022-01-04,16.5,28,5
2022-01-05,18,30,6
2022-01-06,19.5,30,9
2022-01-07,20,30,10
2022-01-08,20,30,10
2022-01-09,20,30,10
2022-01-10,16,21,11
2022-01-11,12.5,15,10
2022-01-12,16.5,23,10
2022-01-13,17,25,9
2022-01-14,17,28,6
2022-01-15,17.5,28,7
2022-01-16,12.5,23,2
2022-01-17,13.5,25,2
2022-01-18,16.5,28,5
2022-01-19,16,26,6
2022-01-20,18,27,9
2022-01-21,10.5,11,10
2022-01-22,8.5,12,5
2022-01-23,10.5,15,6
2022-01-24,14,21,7
2022-01-25,18,25,11
2022-01-26,15.5,23,8
2022-01-27,16.5,23,10
2022-01-28,17,23,11
2022-01-29,12,19,5
2022-01-30,13.5,26,1
2022-01-31,15.5,26,5
2022-02-01,16.5,27,6
2022-02-02,18,30,6
2022-02-03,17.5,27,8
2022-02-04,5.5,10,1
2022-02-05,9,16,2
2022-02-06,15.5,26,5
2022-02-07,10.5,16,5
2022-02-08,9,13,5
2022-02-09,13.5,22,5
2022-02-10,14,23,5
2022-02-11,15,22,8
2022-02-12,15.5,23,8
2022-02-13,12,16,8
2022-02-14,12,21,3
2022-02-15,15.5,26,5
2022-02-16,16.5,28,5
2022-02-17,20.5,31,10
2022-02-18,17.5,26,9
2022-02-19,18,26,10
2022-02-20,18.5,27,10
2022-02-21,21,31,11
2022-02-22,23,33,13
2022-02-23,23,33,13
2022-02-24,21.5,30,13
2022-02-25,19.5,26,13
2022-02-26,20,27,13
2022-02-27,18,25,11
2022-02-28,17.5,24,11
2022-03-01,17.5,29,6
2022-03-02,17.5,29,6
2022-03-03,19,29,9
2022-03-04,20,30,10
2022-03-05,22.5,33,12
2022-03-06,23,33,13
2022-03-07,23.5,33,14
2022-03-08,23,33,13
2022-03-09,21.5,29,14
2022-03-10,19,30,8
2022-03-11,21,33,9
2022-03-12,13.5,17,10
2022-03-13,12.5,24,1
2022-03-14,15.5,30,1
2022-03-15,14.5,28,1
2022-03-16,19.5,29,10
2022-03-17,20.5,31,10
2022-03-18,22,32,12
2022-03-19,19,26,12
2022-03-20,18,27,9
2022-03-21,22,33,11
2022-03-22,21,32,10
2022-03-23,16,26,6
2022-03-24,16.5,27,6
2022-03-25,17,27,7
2022-03-26,17,28,6
2022-03-27,19,31,7
2022-03-28,21,33,9
2022-03-29,22,35,9
2022-03-30,23,33,13
2022-03-31,21.5,31,12
2022-04-01,21.5,33,10
2022-04-02,23.5,34,13
2022-04-03,23,33,13
2022-04-04,26,36,16
2022-04-05,25,34,16
2022-04-06,25.5,35,16
2022-04-07,19.5,26,13
2022-04-08,17.5,25,10
2022-04-09,17.5,27,8
2022-04-10,19.5,31,8
2022-04-11,22,34,10
2022-04-12,22,34,10
2022-04-13,25,35,15
2022-04-14,24,33,15
2022-04-15,25,35,15
2022-04-16,26,37,15
2022-04-17,26.5,37,16
2022-04-18,25,33,17
2022-04-19,23,29,17
2022-04-20,24.5,34,15
2022-04-21,24.5,34,15
2022-04-22,21,29,13
2022-04-23,23.5,33,14
2022-04-24,24.5,33,16
2022-04-25,23,31,15
2022-04-26,20,25,15
2022-04-27,20,26,14
2022-04-28,22,31,13
2022-04-29,24,33,15
2022-04-30,26.5,36,17
2022-05-01,25,33,17
2022-05-02,27,35,19
2022-05-03,27,37,17
2022-05-04,25.5,34,17
2022-05-05,26.5,36,17
2022-05-06,25.5,34,17
2022-05-07,27.25,35.5,19
2022-05-08,27.5,38,17
2022-05-09,28,39,17
2022-05-10,27.5,36,19
2022-05-11,25.5,32,19
2022-05-12,24.5,33,16
2022-05-13,24,35,13
2022-05-14,22.5,32,13
2022-05-15,24.5,34,15
2022-05-16,24.5,34,15
2022-05-17,24,34,14
2022-05-18,25.5,37,14
2022-05-19,25.5,36,15
2022-05-20,26.5,36,17
2022-05-21,25.5,34,17
2022-05-22,24,31,17
2022-05-23,24,31,17
2022-05-24,26,34,18
2022-05-25,25.5,35,16
2022-05-26,26,35,17
2022-05-27,26,36,16
2022-05-28,25,34,16
2022-05-29,25.5,35,16
2022-05-30,25.5,35,16
2022-05-31,25.5,33,18
2022-06-01,24.5,33,16
2022-06-02,23.5,31,16
2022-06-03,24.5,32,17
2022-06-04,24.5,33,16
2022-06-05,25,35,15
2022-06-06,27,38,16
2022-06-07,26.5,37,16
2022-06-08,25,34,16
2022-06-09,23.5,31,16
2022-06-10,24,32,16
2022-06-11,24.5,33,16
2022-06-12,23,31,15
2022-06-13,22.5,31,14
2022-06-14,22,31,13
2022-06-15,22,31,13
2022-06-16,21.5,30,13
2022-06-17,-,-,14
2022-06-18,-,-,-
2022-06-19,-,-,-
2022-06-20,-,-,-
2022-06-21,-,-,-
2022-06-22,-,-,-
2022-06-23,-,-,-
2022-06-24,-,-,-
2022-06-25,-,-,-
2022-06-26,-,-,-
2022-06-27,-,-,-
2022-06-28,-,-,-
2022-06-29,-,-,-
2022-06-30,-,33,-
2022-07-01,24.5,33,16
2022-07-02,25,32,18
2022-07-03,25,33,17
2022-07-04,24.5,33,16
2022-07-05,25,33,17
2022-07-06,24.5,33,16
2022-07-07,25,33,17
2022-07-08,25.5,33,18
2022-07-09,25.5,33,18
2022-07-10,25.5,33,18
2022-07-11,24.5,33,16
2022-07-12,25,33,17
2022-07-13,23,28,18
2022-07-14,22,28,16
2022-07-15,22.5,29,16
2022-07-16,24,33,15
2022-07-17,23.5,33,14
2022-07-18,24.5,34,15
2022-07-19,27,37,17
2022-07-20,28,39,17
2022-07-21,25,34,16
2022-07-22,25.5,33,18
2022-07-23,25,32,18
2022-07-24,23.5,31,16
2022-07-25,24,31,17
2022-07-26,24,30,18
2022-07-27,23,29,17
2022-07-28,21,27,15
2022-07-29,22.5,30,15
2022-07-30,22.5,30,15
2022-07-31,23,30,16
2022-08-01,23.5,31,16
2022-08-02,22,30,14
2022-08-03,23.5,33,14
2022-08-04,24.5,34,15
2022-08-05,23.5,34,13
2022-08-06,23.5,32,15
2022-08-07,23.5,32,15
2022-08-08,23,31,15
2022-08-09,21.5,28,15
2022-08-10,-,-,15
2022-08-11,-,-,-
2022-08-12,-,-,-
2022-08-13,-,-,-
2022-08-14,-,-,-
2022-08-15,-,-,-
2022-08-16,-,-,-
2022-08-17,-,-,-
2022-08-18,-,-,-
2022-08-19,-,-,-
2022-08-20,-,-,-
2022-08-21,-,-,-
2022-08-22,-,-,-
2022-08-23,-,-,-
2022-08-24,-,-,-
2022-08-25,-,-,-
2022-08-26,-,-,-
2022-08-27,-,-,-
2022-08-28,-,-,-
2022-08-29,-,-,-
2022-08-30,-,-,-
2022-08-31,-,32,-
2022-09-01,24,31,17
2022-09-02,24.5,31,18
2022-09-03,24.5,31,18
2022-09-04,23.5,30,17
2022-09-05,22,27,17
2022-09-06,20.5,27,14
2022-09-07,22,28,16
2022-09-08,21.5,28,15
2022-09-09,22.5,30,15
2022-09-10,22,28,16
2022-09-11,21,25,17
2022-09-12,22.5,30,15
2022-09-13,22.5,29,16
2022-09-14,21.5,28,15
2022-09-15,22,30,14
2022-09-16,22.5,30,15
2022-09-17,20.5,27,14
2022-09-18,21.5,28,15
2022-09-19,20.5,27,14
2022-09-20,22,30,14
2022-09-21,23,30,16
2022-09-22,22.5,30,15
2022-09-23,23,30,16
2022-09-24,24,32,16
2022-09-25,23.5,30,17
2022-09-26,22.5,30,15
2022-09-27,20,27,13
2022-09-28,19.5,25,14
2022-09-29,17,25,9
2022-09-30,17.5,26,9
2022-10-01,18,27,9
2022-10-02,19,28,10
2022-10-03,18.5,26,11
2022-10-04,18,23,13
2022-10-05,20,25,15
2022-10-06,17.5,20,15
2022-10-07,17,20,14
2022-10-08,19,25,13
2022-10-09,20,26,14
2022-10-10,21,28,14
2022-10-11,-,-,14
2022-10-12,-,28,-
2022-10-13,23.5,33,14
2022-10-14,20,27,13
2022-10-15,22,30,14
2022-10-16,24,33,15
2022-10-17,24,32,16
2022-10-18,22,27,17
2022-10-19,13.5,15,12
2022-10-20,16.5,25,8
2022-10-21,18,28,8
2022-10-22,20,29,11
2022-10-23,20.5,30,11
2022-10-24,23,32,14
2022-10-25,23,30,16
2022-10-26,23,31,15
2022-10-27,22.5,33,12
2022-10-28,23,33,13
2022-10-29,22,32,12
2022-10-30,20,29,11
2022-10-31,20.5,29,12
2022-11-01,21,30,12
2022-11-02,21,27,15
2022-11-03,22.5,30,15
2022-11-04,22.5,30,15
2022-11-05,22.5,31,14
2022-11-06,23,34,12
2022-11-07,23.5,34,13
2022-11-08,21.5,30,13
2022-11-09,20.5,28,13
2022-11-10,22.5,30,15
2022-11-11,23,33,13
2022-11-12,20,27,13
2022-11-13,17.5,23,12
2022-11-14,21,30,12
2022-11-15,19.5,27,12
2022-11-16,16,20,12
2022-11-17,16,20,12
2022-11-18,16.5,22,11
2022-11-19,19.5,28,11
2022-11-20,12,13,11
2022-11-21,14.5,18,11
2022-11-22,16.5,20,13
2022-11-23,18.5,24,13
2022-11-24,20,28,12
2022-11-25,19.5,27,12
2022-11-26,21.5,28,15
2022-11-27,20,30,10
2022-11-28,19,29,9
2022-11-29,20,30,10
2022-11-30,21,30,12
2022-12-01,18,24,12
2022-12-02,20,28,12
2022-12-03,18.5,25,12
2022-12-04,18.5,25,12
2022-12-05,21,30,12
2022-12-06,21,30,12
2022-12-07,19,27,11
2022-12-08,17,27,7
2022-12-09,17.5,26,9
2022-12-10,18.5,28,9
2022-12-11,19,29,9
2022-12-12,19,27,11
2022-12-13,20,29,11
2022-12-14,18.5,28,9
2022-12-15,17,25,9
2022-12-16,17,26,8
2022-12-17,16.5,24,9
2022-12-18,15,19,11
2022-12-19,18.5,29,8
2022-12-20,16,22,10
2022-12-21,13,21,5
2022-12-22,16.5,27,6
2022-12-23,15,23,7
2022-12-24,7.5,10,5
2022-12-25,7.5,10,5
2022-12-26,13.5,22,5
2022-12-27,14,21,7
2022-12-28,15.5,25,6
2022-12-29,16,26,6
2022-12-30,15.5,23,8
2022-12-31,17.5,26,9
2023-01-01,20,28,12
2023-01-02,19,27,11
2023-01-03,18.5,28,9
2023-01-04,18.5,27,10
2023-01-05,17.5,27,8
2023-01-06,18.5,28,9
2023-01-07,18.5,29,8
2023-01-08,17,26,8
2023-01-09,18,26,10
2023-01-10,17,24,10
2023-01-11,18.5,27,10
2023-01-12,19.5,29,10
2023-01-13,13.5,22,5
2023-01-14,13,24,2
2023-01-15,16.5,29,4
2023-01-16,19,30,8
2023-01-17,19.5,30,9
2023-01-18,21,31,11
2023-01-19,16.5,25,8
2023-01-20,18,27,9
2023-01-21,21,30,12
2023-01-22,20,30,10
2023-01-23,12.5,15,10
2023-01-24,18.5,28,9
2023-01-25,16.5,25,8
2023-01-26,8,11,5
2023-01-27,10.5,16,5
2023-01-28,16,25,7
2023-01-29,20,30,10
2023-01-30,22,32,12
2023-01-31,19.5,26,13
2023-02-01,18.5,23,14
2023-02-02,21,29,13
2023-02-03,13,16,10
2023-02-04,13,23,3
2023-02-05,17,27,7
2023-02-06,18,29,7
2023-02-07,19,31,7
2023-02-08,20,30,10
2023-02-09,18,25,11
2023-02-10,16.5,23,10
2023-02-11,12,19,5
2023-02-12,14,25,3
2023-02-13,18,29,7
2023-02-14,20,30,10
2023-02-15,20.5,31,10
2023-02-16,21.5,31,12
2023-02-17,15.5,21,10
2023-02-18,14.5,24,5
2023-02-19,15.5,26,5
2023-02-20,20,30,10
2023-02-21,21.5,33,10
2023-02-22,22,30,14
2023-02-23,22.5,32,13
2023-02-24,21,29,13
2023-02-25,19.5,28,11
2023-02-26,23,33,13
2023-02-27,24,34,14
2023-02-28,24,34,14
2023-03-01,-,-,16
2023-03-02,-,-,-
2023-03-03,-,-,-
