Estación: ,PAMNL,La Pamona
Variable: ,Evaporación (mm)
Longitud: ,99° 13' 22.8'',Latitud:,24° 59' 34.9''
Datos preliminares sujetos a revisión
Datos en Fecha de Ocurrencia

Fecha,Valor,Fuente
2022-01-01,-,-
2022-01-02,5.2,
2022-01-03,3.7,
2022-01-04,3.08,
2022-01-05,3.77,
2022-01-06,4.58,
2022-01-07,2.57,
2022-01-08,3.07,
2022-01-09,3,
2022-01-10,2.45,
2022-01-11,2.25,
2022-01-12,3.48,
2022-01-13,4.41,
2022-01-14,5.09,
2022-01-15,6.79,
2022-01-16,5.11,
2022-01-17,3.89,
2022-01-18,3.06,
2022-01-19,5.05,
2022-01-20,2.07,
2022-01-21,1.01,
2022-01-22,1.55,
2022-01-23,1.35,
2022-01-24,1.97,
2022-01-25,2.05,
2022-01-26,1.59,
2022-01-27,1.26,
2022-01-28,1.73,
2022-01-29,1.31,
2022-01-30,3.11,
2022-01-31,2.79,
2022-02-01,3.21,
2022-02-02,4.07,
2022-02-03,1.82,
2022-02-04,2.89,
2022-02-05,2.11,
2022-02-06,1.7,
2022-02-07,1.3,
2022-02-08,2.11,
2022-02-09,2.05,
2022-02-10,2.54,
2022-02-11,2.39,
2022-02-12,4.11,
2022-02-13,4.31,
2022-02-14,3.07,
2022-02-15,4.52,
2022-02-16,4.9,
2022-02-17,5.05,
2022-02-18,4.64,
2022-02-19,4.31,
2022-02-20,5.07,
2022-02-21,5.6,
2022-02-22,6.1,
2022-02-23,4.1,
2022-02-24,2.82,
2022-02-25,2.8,
2022-02-26,2.49,
2022-02-27,3.41,
2022-02-28,4.08,
2022-03-01,3.92,
2022-03-02,4.07,
2022-03-03,4.52,
2022-03-04,5.41,
2022-03-05,4.89,
2022-03-06,6.16,
2022-03-07,6.84,
2022-03-08,5.25,
2022-03-09,4.4,
2022-03-10,5.28,
2022-03-11,6.36,
2022-03-12,5.11,
2022-03-13,4.85,
2022-03-14,5.04,
2022-03-15,5.11,
2022-03-16,5.89,
2022-03-17,7.48,
2022-03-18,6.31,
2022-03-19,4.79,
2022-03-20,6.3,
2022-03-21,8.02,
2022-03-22,6.07,
2022-03-23,4.82,
2022-03-24,6.5,
2022-03-25,7.74,
2022-03-26,6.11,
2022-03-27,5.89,
2022-03-28,7.1,
2022-03-29,8.9,
2022-03-30,7.9,
2022-03-31,7.08,
2022-04-01,7.8,
2022-04-02,6.1,
2022-04-03,6.8,
2022-04-04,7.22,
2022-04-05,6.03,
2022-04-06,10.42,
2022-04-07,7.43,
2022-04-08,6.05,
2022-04-09,7.08,
2022-04-10,7.81,
2022-04-11,8.11,
2022-04-12,6.08,
2022-04-13,8.81,
2022-04-14,6.49,
2022-04-15,7.1,
2022-04-16,6.2,
2022-04-17,7.9,
2022-04-18,3.7,
2022-04-19,6.05,
2022-04-20,5.7,
2022-04-21,7.49,
2022-04-22,8.3,
2022-04-23,8.2,
2022-04-24,8.07,
2022-04-25,6.91,
2022-04-26,4.09,
2022-04-27,4.82,
2022-04-28,6.1,
2022-04-29,7.9,
2022-04-30,5.79,
2022-05-01,8.11,
2022-05-02,7.85,
2022-05-03,9.13,
2022-05-04,9.05,
2022-05-05,9.05,
2022-05-06,8.69,
2022-05-07,12.1,
2022-05-08,12.11,
2022-05-09,10.02,
2022-05-10,9.69,
2022-05-11,8.21,
2022-05-12,10.08,
2022-05-13,10.61,
2022-05-14,10.31,
2022-05-15,9.9,
2022-05-16,10.05,
2022-05-17,9.74,
2022-05-18,9.28,
2022-05-19,10.03,
2022-05-20,11.79,
2022-05-21,11.9,
2022-05-22,7.21,
2022-05-23,4.08,
2022-05-24,3.81,
2022-05-25,3.11,
2022-05-26,5.08,
2022-05-27,7.02,
2022-05-28,7.1,
2022-05-29,9.32,
2022-05-30,10.25,
2022-05-31,10.65,
2022-06-01,8.5,
2022-06-02,10.22,
2022-06-03,9.1,
2022-06-04,9.25,
2022-06-05,12.2,
2022-06-06,13.1,
2022-06-07,11.35,
2022-06-08,12.2,
2022-06-09,9.25,
2022-06-10,9.45,
2022-06-11,10.22,
2022-06-12,11.25,
2022-06-13,8.45,
2022-06-14,7.25,
2022-06-15,10.51,
2022-06-16,10.35,
2022-06-17,9.38,
2022-06-18,7.52,
2022-06-19,6.75,
2022-06-20,8.1,
2022-06-21,7.25,
2022-06-22,7.45,
2022-06-23,8.45,
2022-06-24,9.1,
2022-06-25,10.25,
2022-06-26,9.45,
2022-06-27,10.25,
2022-06-28,7.62,
2022-06-29,5.1,
2022-06-30,5.31,
2022-07-01,6.25,
2022-07-02,8.35,
2022-07-03,8.1,
2022-07-04,8.95,
2022-07-05,9.45,
2022-07-06,9.52,
2022-07-07,10.15,
2022-07-08,11.05,
2022-07-09,10.5,
2022-07-10,10.25,
2022-07-11,11.25,
2022-07-12,11.2,
2022-07-13,9.5,
2022-07-14,7.35,
2022-07-15,6.5,
2022-07-16,8.25,
2022-07-17,9.45,
2022-07-18,10.3,
2022-07-19,10.45,
2022-07-20,11.25,
2022-07-21,11.45,
2022-07-22,9.53,
2022-07-23,9.45,
2022-07-24,7.25,
2022-07-25,8.3,
2022-07-26,9.8,
2022-07-27,9.1,
2022-07-28,9.45,
2022-07-29,7.45,
2022-07-30,8.2,
2022-07-31,7.25,
2022-08-01,8.25,
2022-08-02,8.15,
2022-08-03,10.2,
2022-08-04,8.55,
2022-08-05,10.15,
2022-08-06,8.85,
2022-08-07,9.64,
2022-08-08,8.11,
2022-08-09,6.55,
2022-08-10,9.02,
2022-08-11,8.03,
2022-08-12,8.75,
2022-08-13,7.15,
2022-08-14,4.05,
2022-08-15,4.8,
2022-08-16,3.15,
2022-08-17,6.07,
2022-08-18,6.78,
2022-08-19,8.13,
2022-08-20,8.02,
2022-08-21,5.07,
2022-08-22,8.93,
2022-08-23,10.08,
2022-08-24,8.81,
2022-08-25,10.78,
2022-08-26,9.1,
2022-08-27,9.02,
2022-08-28,10.05,
2022-08-29,10.03,
2022-08-30,7.9,
2022-08-31,6.89,
2022-09-01,7.14,
2022-09-02,6.76,
2022-09-03,5.11,
2022-09-04,4.13,
2022-09-05,3.05,
2022-09-06,3.8,
2022-09-07,4.1,
2022-09-08,5.06,
2022-09-09,6.05,
2022-09-10,5.05,
2022-09-11,4.95,
2022-09-12,5.9,
2022-09-13,5.75,
2022-09-14,6.35,
2022-09-15,4.08,
2022-09-16,5.81,
2022-09-17,4.11,
2022-09-18,5.05,
2022-09-19,5.84,
2022-09-20,5.78,
2022-09-21,5.15,
2022-09-22,5.82,
2022-09-23,6.15,
2022-09-24,6.02,
2022-09-25,4.25,
2022-09-26,4.79,
2022-09-27,4.19,
2022-09-28,4.02,
2022-09-29,5.04,
2022-09-30,3.91,
2022-10-01,3.94,
2022-10-02,4.75,
2022-10-03,4.06,
2022-10-04,3.98,
2022-10-05,3.09,
2022-10-06,3.09,
2022-10-07,2.96,
2022-10-08,2.04,
2022-10-09,3.02,
2022-10-10,3.6,
2022-10-11,4.1,
2022-10-12,4.21,
2022-10-13,6.03,
2022-10-14,5.04,
2022-10-15,5.9,
2022-10-16,6.07,
2022-10-17,-,-
2022-10-18,1.75,
2022-10-19,3.04,
2022-10-20,3.03,
2022-10-21,3.13,
2022-10-22,3.5,
2022-10-23,5.3,
2022-10-24,5.03,
2022-10-25,4.07,
2022-10-26,4.05,
2022-10-27,5.04,
2022-10-28,3.05,
2022-10-29,5.8,
2022-10-30,4.3,
2022-10-31,-,-
2022-11-01,-,-
2022-11-02,-,-
2022-11-03,-,-
2022-11-04,-,-
2022-11-05,-,-
2022-11-06,-,-
2022-11-07,-,-
2022-11-08,-,-
2022-11-09,-,-
2022-11-10,-,-
2022-11-11,-,-
2022-11-12,-,-
2022-11-13,-,-
2022-11-14,2.8,
2022-11-15,2.85,
2022-11-16,2.64,
2022-11-17,1.94,
2022-11-18,1.96,
2022-11-19,0.59,
2022-11-20,0.85,
2022-11-21,0.95,
2022-11-22,1.08,
2022-11-23,1.1,
2022-11-24,2.02,
2022-11-25,0.94,
2022-11-26,2.11,
2022-11-27,2.29,
2022-11-28,3.5,
2022-11-29,3.11,
2022-11-30,2.49,
2022-12-01,2.9,
2022-12-02,3.19,
2022-12-03,2.73,
2022-12-04,3.09,
2022-12-05,3.89,
2022-12-06,3.09,
2022-12-07,3.17,
2022-12-08,4.03,
2022-12-09,3.1,
2022-12-10,3.21,
2022-12-11,3.61,
2022-12-12,3.07,
2022-12-13,3.2,
2022-12-14,3.8,
2022-12-15,4.11,
2022-12-16,2.85,
2022-12-17,-,-
2022-12-18,-,-
2022-12-19,-,-
2022-12-20,-,-
2022-12-21,-,-
2022-12-22,-,-
2022-12-23,-,-
2022-12-24,-,-
2022-12-25,-,-
2022-12-26,-,-
2022-12-27,-,-
2022-12-28,-,-
2022-12-29,-,-
2022-12-30,-,-
2022-12-31,-,-
2023-01-01,-,-
2023-01-02,2.9,
2023-01-03,3.07,
2023-01-04,4.02,
2023-01-05,3.5,
2023-01-06,4.3,
2023-01-07,5.09,
2023-01-08,4.07,
2023-01-09,3.95,
2023-01-10,4.59,
2023-01-11,3.1,
2023-01-12,8.11,
2023-01-13,5.07,
2023-01-14,4.41,
2023-01-15,4.41,
2023-01-16,5.85,
2023-01-17,5.04,
2023-01-18,6.11,
2023-01-19,3.07,
2023-01-20,3.42,
2023-01-21,4.4,
2023-01-22,4.09,
2023-01-23,6.05,
2023-01-24,4.75,
2023-01-25,6.15,
2023-01-26,4.07,
2023-01-27,3.82,
2023-01-28,4.11,
2023-01-29,5.07,
2023-01-30,4.62,
2023-01-31,2.2,
2023-02-01,2.03,
2023-02-02,3.13,
2023-02-03,4.03,
2023-02-04,3.81,
2023-02-05,3.49,
2023-02-06,4.3,
2023-02-07,5.11,
2023-02-08,3.08,
2023-02-09,4.81,
2023-02-10,4.11,
2023-02-11,4.08,
2023-02-12,4.01,
2023-02-13,4.8,
2023-02-14,6.09,
2023-02-15,7.02,
2023-02-16,5.85,
2023-02-17,6.15,
2023-02-18,4.08,
2023-02-19,5.01,
2023-02-20,5.01,
2023-02-21,5.79,
2023-02-22,6.11,
2023-02-23,5.07,
2023-02-24,5.2,
2023-02-25,6.2,
2023-02-26,6.1,
2023-02-27,6.3,
2023-02-28,7.05,
2023-03-01,7.1,
2023-03-02,6.07,
2023-03-03,-,-
